Period,Value
Jan-92,"50,251"
Feb-92,"51,682"
Mar-92,"50,294"
Apr-92,"50,302"
May-92,"50,044"
Jun-92,"51,727"
Jul-92,"52,533"
Aug-92,"50,940"
Sep-92,"51,984"
Oct-92,"53,035"
Nov-92,"52,246"
Dec-92,"51,843"
Jan-93,"52,568"
Feb-93,"52,480"
Mar-93,"53,035"
Apr-93,"53,139"
May-93,"54,229"
Jun-93,"52,346"
Jul-93,"52,818"
Aug-93,"53,224"
Sep-93,"53,648"
Oct-93,"55,476"
Nov-93,"54,345"
Dec-93,"55,552"
Jan-94,"55,159"
Feb-94,"53,729"
Mar-94,"58,307"
Apr-94,"56,436"
May-94,"57,342"
Jun-94,"58,451"
Jul-94,"58,492"
Aug-94,"60,407"
Sep-94,"60,715"
Oct-94,"59,861"
Nov-94,"61,532"
Dec-94,"62,825"
Jan-95,"63,118"
Feb-95,"63,077"
Mar-95,"64,349"
Apr-95,"65,074"
May-95,"65,755"
Jun-95,"64,855"
Jul-95,"66,560"
Aug-95,"67,469"
Sep-95,"68,943"
Oct-95,"68,105"
Nov-95,"68,009"
Dec-95,"69,071"
Jan-96,"68,299"
Feb-96,"69,899"
Mar-96,"69,797"
Apr-96,"70,126"
May-96,"71,029"
Jun-96,"71,056"
Jul-96,"69,404"
Aug-96,"70,563"
Sep-96,"70,553"
Oct-96,"73,769"
Nov-96,"74,263"
Dec-96,"72,842"
Jan-97,"72,910"
Feb-97,"75,225"
Mar-97,"77,050"
Apr-97,"77,769"
May-97,"77,883"
Jun-97,"78,889"
Jul-97,"80,099"
Aug-97,"78,622"
Sep-97,"79,287"
Oct-97,"79,383"
Nov-97,"78,300"
Dec-97,"79,038"
Jan-98,"79,008"
Feb-98,"77,931"
Mar-98,"78,812"
Apr-98,"77,626"
May-98,"77,147"
Jun-98,"76,961"
Jul-98,"76,149"
Aug-98,"75,512"
Sep-98,"77,179"
Oct-98,"79,351"
Nov-98,"79,117"
Dec-98,"78,382"
Jan-99,"78,457"
Feb-99,"78,164"
Mar-99,"78,699"
Apr-99,"79,524"
May-99,"79,514"
Jun-99,"79,780"
Jul-99,"81,106"
Aug-99,"82,662"
Sep-99,"83,740"
Oct-99,"83,961"
Nov-99,"84,664"
Dec-99,"86,254"
Jan-00,"85,997"
Feb-00,"86,471"
Mar-00,"88,103"
Apr-00,"89,351"
May-00,"88,944"
Jun-00,"91,607"
Jul-00,"91,167"
Aug-00,"93,136"
Sep-00,"92,911"
Oct-00,"92,231"
Nov-00,"91,933"
Dec-00,"91,113"
Jan-01,"90,795"
Feb-01,"91,101"
Mar-01,"89,251"
Apr-01,"87,903"
May-01,"88,477"
Jun-01,"85,939"
Jul-01,"83,201"
Aug-01,"83,881"
Sep-01,"79,509"
Oct-01,"79,062"
Nov-01,"78,446"
Dec-01,"77,800"
Jan-02,"79,260"
Feb-02,"79,264"
Mar-02,"80,345"
Apr-02,"82,072"
May-02,"82,427"
Jun-02,"83,564"
Jul-02,"83,724"
Aug-02,"83,689"
Sep-02,"83,487"
Oct-02,"82,768"
Nov-02,"83,919"
Dec-02,"81,578"
Jan-03,"82,513"
Feb-03,"83,095"
Mar-03,"83,156"
Apr-03,"82,566"
May-03,"82,630"
Jun-03,"85,173"
Jul-03,"85,944"
Aug-03,"84,905"
Sep-03,"86,969"
Oct-03,"88,890"
Nov-03,"91,322"
Dec-03,"91,024"
Jan-04,"90,564"
Feb-04,"94,131"
Mar-04,"96,707"
Apr-04,"96,398"
May-04,"98,197"
Jun-04,"95,773"
Jul-04,"96,907"
Aug-04,"97,295"
Sep-04,"98,782"
Oct-04,"100,494"
Nov-04,"100,090"
Dec-04,"102,781"
Jan-05,"103,206"
Feb-05,"104,010"
Mar-05,"105,098"
Apr-05,"107,268"
May-05,"107,079"
Jun-05,"107,033"
Jul-05,"107,082"
Aug-05,"108,475"
Sep-05,"107,156"
Oct-05,"109,813"
Nov-05,"111,462"
Dec-05,"113,822"
Jan-06,"115,831"
Feb-06,"116,871"
Mar-06,"118,821"
Apr-06,"119,611"
May-06,"121,155"
Jun-06,"122,726"
Jul-06,"120,430"
Aug-06,"122,780"
Sep-06,"124,052"
Oct-06,"125,532"
Nov-06,"127,388"
Dec-06,"128,795"
Jan-07,"130,648"
Feb-07,"129,481"
Mar-07,"133,835"
Apr-07,"133,351"
May-07,"135,835"
Jun-07,"137,312"
Jul-07,"138,546"
Aug-07,"141,519"
Sep-07,"142,069"
Oct-07,"144,525"
Nov-07,"146,264"
Dec-07,"147,428"
Jan-08,"151,094"
Feb-08,"153,660"
Mar-08,"152,900"
Apr-08,"157,363"
May-08,"159,081"
Jun-08,"164,072"
Jul-08,"166,232"
Aug-08,"163,335"
Sep-08,"154,611"
Oct-08,"151,854"
Nov-08,"142,973"
Dec-08,"132,410"
Jan-09,"125,859"
Feb-09,"127,893"
Mar-09,"126,478"
Apr-09,"125,323"
May-09,"127,342"
Jun-09,"129,796"
Jul-09,"131,878"
Aug-09,"132,567"
Sep-09,"137,047"
Oct-09,"141,055"
Nov-09,"142,075"
Dec-09,"145,480"
Jan-10,"145,718"
Feb-10,"146,849"
Mar-10,"151,080"
Apr-10,"150,006"
May-10,"153,819"
Jun-10,"153,326"
Jul-10,"156,763"
Aug-10,"157,769"
Sep-10,"158,624"
Oct-10,"164,234"
Nov-10,"165,621"
Dec-10,"168,510"
Jan-11,"169,897"
Feb-11,"168,665"
Mar-11,"176,676"
Apr-11,"178,839"
May-11,"178,856"
Jun-11,"176,894"
Jul-11,"181,502"
Aug-11,"182,475"
Sep-11,"183,858"
Oct-11,"182,681"
Nov-11,"180,797"
Dec-11,"182,411"
Jan-12,"182,425"
Feb-12,"185,085"
Mar-12,"188,511"
Apr-12,"187,092"
May-12,"187,375"
Jun-12,"187,247"
Jul-12,"186,714"
Aug-12,"184,999"
Sep-12,"191,182"
Oct-12,"186,133"
Nov-12,"188,461"
Dec-12,"192,226"
Jan-13,"190,283"
Feb-13,"192,436"
Mar-13,"189,856"
Apr-13,"190,603"
May-13,"189,837"
Jun-13,"192,921"
Jul-13,"192,125"
Aug-13,"192,449"
Sep-13,"192,505"
Oct-13,"196,471"
Nov-13,"197,292"
Dec-13,"196,343"
Jan-14,"195,789"
Feb-14,"195,059"
Mar-14,"199,559"
Apr-14,"199,056"
May-14,"201,418"
Jun-14,"200,514"
Jul-14,"200,758"
Aug-14,"202,226"
Sep-14,"199,556"
Oct-14,"201,376"
Nov-14,"198,893"
Dec-14,"198,413"
Jan-15,"194,245"
Feb-15,"191,934"
Mar-15,"192,271"
Apr-15,"193,086"
May-15,"191,918"
Jun-15,"191,512"
Jul-15,"190,841"
Aug-15,"188,084"
Sep-15,"189,155"
Oct-15,"187,795"
Nov-15,"185,419"
Dec-15,"184,517"
Jan-16,"180,951"
Feb-16,"183,033"
Mar-16,"182,054"
Apr-16,"184,167"
May-16,"185,125"
Jun-16,"186,833"
Jul-16,"188,195"
Aug-16,"190,173"
Sep-16,"190,713"
Oct-16,"189,343"
Nov-16,"187,654"
Dec-16,"192,583"
Jan-17,"195,435"
Feb-17,"196,492"
Mar-17,"196,213"
Apr-17,"196,038"
May-17,"195,533"
Jun-17,"197,990"
Jul-17,"197,260"
Aug-17,"198,957"
Sep-17,"201,125"
Oct-17,"202,855"
Nov-17,"206,890"
Dec-17,"209,690"
Jan-18,"207,234"
Feb-18,"210,229"
Mar-18,"213,712"
Apr-18,"212,641"
May-18,"215,668"
Jun-18,"213,423"
Jul-18,"211,449"
Aug-18,"211,246"
Sep-18,"213,211"
Oct-18,"213,921"
Nov-18,"211,277"
Dec-18,"208,451"
Jan-19,"210,489"
Feb-19,"212,172"
Mar-19,"214,675"
Apr-19,"211,214"
May-19,"215,226"
Jun-19,"212,232"
Jul-19,"212,515"
Aug-19,"212,237"
Sep-19,"211,048"
Oct-19,"211,396"
Nov-19,"211,491"
Dec-19,"211,580"
Jan-20,"207,395"
Feb-20,"207,648"
Mar-20,"188,930"
Apr-20,"150,773"
May-20,"146,249"
Jun-20,"160,174"
Jul-20,"172,183"
Aug-20,"176,270"
Sep-20,"181,292"
Oct-20,"185,374"
Nov-20,"188,342"
Dec-20,"194,020"
Jan-21,"197,546"
Feb-21,"193,413"
Mar-21,"207,372"
Apr-21,"207,642"
May-21,"210,279"
Jun-21,"212,326"
Jul-21,"214,122"
Aug-21,"215,841"
Sep-21,"211,618"
Oct-21,"225,898"
Nov-21,"228,145"
Dec-21,"232,437"
Jan-22,"227,313"
Feb-22,"232,280"
Mar-22,"243,778"
Apr-22,"251,946"
May-22,"255,631"
Jun-22,"260,034"
Jul-22,"260,406"
Aug-22,"261,239"
Sep-22,"258,059"
Oct-22,"256,544"
Nov-22,"252,349"
Dec-22,"250,152"
